id,title,isbn,isbn13,description
213,New Hope for the Dead,1400032490,9781400032495,"Miami homicide detective Hoke Moseley is called to a posh Miami neighborhood to investigate a lethal overdose. There he meets the alluring stepmother of the decedant, and begins to wonder about dating a witness. Meanwile, he has been threatened with suspension by his ambitious new chief unless he leaves his beloved, if squalid, suite at the El Dorado Hotel, and moves downtown. With free housing hard to come by, Hoke is desperate to find a new place to live. His difficulties are only amplified by an assignment to re-investigate fifty unsolved murders, the unexpected arrival of his two teenage daughters, and a partner struggling with an unwanted pregnancy. With few options and even fewer dollars, he decides that the suspicious and beautiful stepmother of the dead junkie might be a compromised solution to all of his problems.<br /><br />Packed with atmosphere and humor, <i>New Hope for the Dead </i>is a classic murder mystery by one of the true masters of the genre. Now back in print, Charles Willeford’s tour de force is an irresistible invitation to become acquainted with one of the greatest detective characters of all time."
214,Sideswipe: A Hoke Moseley Novel,1400032482,9781400032488,"Hoke Moseley has had enough. Tired of struggling against alimony payments, two teenage daughters, a very pregnant, very single partner, and a low paying job as a Miami homicide detective, Hoke moves to Singer Island and vows never step foot on the mainland again. But on the street, career criminal Troy Louden is hatching plans of his own with a gang including a disfigured hooker, a talentless artist, and a clueless retiree. But when his simple robbery results in ruthless and indiscriminate bloodshed, Hoke quickly remembers why he is a cop and hurls himself back into the world he meant to leave behind forever.<br /><br />A masterly tale of both mid-life crisis and murder, <b>Sideswipe</b> is a page-turning thriller packed with laughs, loaded with suspense, and featuring one of the truly original detectives of all time."
215,The Way We Die Now,1400032504,9781400032501,"When Miami Homicide Detective Hoke Moseley receives an unexplained order to let his beard grow, he doesn't think much about it. He has too much going on at home, especially with a man he helped convict ten years before moving in across the street. Hoke immediately assumes the worst, and considering he has his former partner, who happens to be nursing a newborn, and his two teenage daughters living with him, he doesn't like the situation on bit. It doesn't help matters when he is suddenly assigned to work undercover, miles away, outside of his jurisdiction and without his badge, his gun, or his teeth. Soon, he is impersonating a drifter and tring to infiltrate a farm operation suspected of murdering migrant workers. But when he gets there for his job interview, the last thing he is offered is work.<br /><br />In this final installment of the highly acclaimed Hoke Moseley novels, Charles Willeford's brilliance and expertise show on every page. Equally funny, thrilling, and disturbing, The Way We Die Now is a triumphant finish to one of the most original detective series of all time."
216,Miami Blues,1400032466,9781400032464,"After a brutal day investigating a quadruple homicide, Detective Hoke Moseley settles into his room at the un-illustrious El Dorado Hotel and nurses a glass of brandy. With his guard down, he doesn’t think twice when he hears a knock on the door. The next day, he finds himself in the hospital, badly bruised and with his jaw wired shut. He thinks back over ten years of cases wondering who would want to beat him into unconsciousness, steal his gun and badge, and most importantly, make off with his prized dentures. But the pieces never quite add up to revenge, and the few clues he has keep connecting to a dimwitted hooker, and her ex-con boyfriend and the bizarre murder of a Hare Krishna pimp.<br /><br />Chronically depressed, constantly strapped for money, always willing to bend the rules a bit, Hoke Moseley is hardly what you think of as the perfect cop, but he is one of the the greatest detective creations of all time."
217,Charles Willeford Omnibus: Pick Up/Burnt Orange Heresy/Cockfighter ,1874061394,9781874061397,A collection of three Charles Willeford thrillers. Cockfighter is set in the seamy underbelly of southern rural life in the USA; The Burnt Orange Heresy features an evil and complicated art-dealer; and Pick-Up tells the story of an alcoholic woman's attempts to avoid destroying herself.
218,The Woman Chaser,1842430017,9781842430019,"Richard Hudson, woman chaser and used car salesman, has a pimp's awareness of the ways women (and men) are most vulnerable. One day Richard decides to make an ambitious film, which turns into a fiasco. Enraged, he exacts revenge on all who have crossed him."
219,The Machine in Ward Eleven,1568582102,9781568582108,"This reissue of Willeford's 1963 pulp classic is a timely reminder that madness is truly the dark heart of politics. Written at a time when people still had faith in their elected leaders, Willeford's book laid bare the American dream. There is an almost Chekhovian wistfulness in the treatment of his stories, which belies their considerable impact. ""The most eloquently brainy and exacting pulp fiction ever fabricated!"" -- Village Voice<br /><br />Contains the stories:<br />1. The Machine in Ward Eleven<br />2. Selected Incidents<br />3. A Letter to A.A. (Almost Anybody)<br />4. Jake's Journal<br />5. ""Just Like on Television--""<br />6. The Alectrymancer"
221,Wild Wives,1400032474,9781400032471,"Jake Blake is a private detective short on cash when he meets a rich and beautiful young woman looking to escape her father’s smothering influence. Unfortunately for Jake, the smothering influence includes two thugs hired to protect her—and the woman is in fact not the daughter of the man she wants to escape, but his wife. Now Jake has two angry thugs and one jealous husband on his case. As Jake becomes more deeply involved with this glamorous and possibly crazy woman, he becomes entangled in a web of deceit, intrigue—and multiple murders. Brilliant, sardonic, and full of surprises, <b>Wild Wives</b> is one wild ride."
222,The Shark-Infested Custard,1400032512,9781400032518,"From the master of Miami noir comes this tale of four regular guys living in a singles apartment building who experience firsthand that there's more than one type of heat in Miami.<br /><br />Larry Dolman is a rather literal minded ex-cop who now works private security. Eddie Miller is an airline pilot who's studying to get his real estate license. Don Luchessi is a silver salesman who's separated from his wife but too Catholic to get a divorce. Hank Norton is a drug company rep who gets four times as many dames as any of the other guys. They are all regular guys who like to drink, play cards, meet broads, and shoot a little pool. But when a friendly bet goes horribly awry, they find themselves with two dead bodies on their hands and a homicidal husband in the wings—and acting more like hardened criminals than upstanding citizens."
224,The Black Mass of Brother Springer,1930997353,9781930997356,"""No one writes a better crime novel than Charles Willeford"" Elmore Leonard THE BLACK MASS OF BROTHER SPRINGER tells the story of Sam Springer, a drifter novelist who meets Jack Dover, the retiring Abbot of the Church of God's Flock. Dover's final official act is to ordain Springer and send him off to serve as pastor of an all-Black church in Jacksonville, Florida. Springer soon becomes entangled in the city's growing civil rights movement . . . and with the church deacon's earthy young wife, Merita. The Washington post calls this darkly humorous novel by Charles Willeford, one of the great crime writers of the 20th century, ""his masterpiece."" This new edition is introduced by James Sallis and contains Willeford's previously unpublished play based on the novel."
226,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,0896724409,9780896724402,"Is comedy postmodern?Kirby Olson posits that no one has been more marginalized than the comic writer, whose irreverent truths have always made others uncomfortable. In a literary age that purports to champion diversity, comic writers remain an underclass huddling at the fringes of the canon. Olson challenges the status quo by inviting the comic writer into the center of literary debate.In the growing discipline of humor studies, Olson is the first to create a substantial link between the fields of comedy and postmodernism, discovering in comic writers a philosophy of oddness and paradox that parallels and extends the work of the major postmodern thinkers.With elegant clarity, Comedy After Post-modernism examines: Edward Lear as he invents a comic picturesque to challenge the sublime of Kant and Ruskin Gregory Corso as he explodes the Great Chain of Being of his early Catholicism Philippe Soupault as a comic surrealist undoing the sacrificial aesthetics of André Breton P.G. Wodehouse as a social thinker with surprisingly deep affinities to anarchist Peter Kropotkin and radical social theorist Charles Fourier Stewart Home, the infamously violent punk author, as a pacifist whose narrative questions Marxist-anarchist terrorism in favor of patience and tolerance Charles Willeford, the maestro of the black humor police procedural, as a postmodern philosopher who deepens the problems of ethical and aesthetic judgment after postmodernism. “An original, splendidly researched, and necessary book. By pointing to the vast excluded literature of ‘comic writers,’ Dr. Olson opens the door to a postmodern scholarship capable of greater flexibility. Comedy After Postmodernism evinces a lucid, passionate, and engaging style.” —Andrei Codrescu There was an old man on the Border, Who lived in the utmost disorder;He danced with the cat, and made tea in his hat,Which vexed all the folks on the Border.—From The Complete Nonsense of Edward Lear"
228,Cockfighter,1596542225,9781596542228,"The sport is cockfighting and Frank Mansfield is the cockfighter - a silent and fiercely contrary man whose obsession with winning will cost him almost everything. In this haunting, ribald, and percussively violent work, the author of Hoke Moseley detective novels yields a floodlit vision of the cockpits and criminal underbelly of the rural south. First published in 1962 by Charles Willeford, later made into a Roger Corman film."
229,"Sideswipe (Hoke Moseley, #3)",0345349474,9780345349477,"Florida homicide detective Hoke Moseley's life suddenly went to bell one morning. His ex-wife had married a big-time pro ballplayer. His two teenage daughters moved in. And his lieutenant had dumped ever? unsolved murder in Miami on him. So Hoke decided to bail out stretch out on Singer Island, give up police work, and watch the ocean roll.<br /><br />But trouble wasn't going to let Hoke get away. Not a stone's throw from his laid-back new life, a slick, handsome psychopath was planning his next armed robbery. The heist would suck a curmudgeon retiree into a life of crime, blast a half-dozen people, off the planet, and leave nary a clue behind.<br /><br />It was a case right up Hoke's alley: weird enough to catch his attention, personal enough to make him mad, and twisted enough to make Hoke forget he didn't want to be a cop...a good guy in a world gone very, very bad."
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),0679732527,9780679732525,"James Figueras is a brilliant art critic in search of the coup that will make him the leader in his field. Figueras has been offered a chance to meet the reclusive artist Deberieu; in return, all he has to do is steal one of the master's paintings. But from stealing, as Figueras learns, it is only a very short step to killing."
231,I am Charlotte Simmons,0312424442,9780312424442,"Tom Wolfe, the master social novelist of our time, the spot-on chronicler of all things contemporary and cultural, presents a sensational new novel about life, love, and learning--or the lack of it--amid today's American colleges.<br /><br />Our story unfolds at fictional Dupont University: those Olympian halls of scholarship housing the cream of America's youth, the roseate Gothic spires and manicured lawns suffused with tradition . . . Or so it appears to beautiful, brilliant Charlotte Simmons, a sheltered freshman from North Carolina. But Charlotte soon learns, to her mounting dismay, that for the upper-crust coeds of Dupont, sex, cool, and kegs trump academic achievement every time.<br /><br />As Charlotte encounters the paragons of Dupont's privileged elite--her roommate, Beverly, a Groton-educated Brahmin in lusty pursuit of lacrosse players; Jojo Johanssen, the only white starting player on Dupont's godlike basketball team, whose position is threatened by a hotshot black freshman from the projects; the Young Turk of Saint Ray fraternity, Hoyt Thorpe, whose heady sense of entitlement and social domination is clinched by his accidental brawl with a bodyguard for the governor of California; and Adam Geller, one of the Millennial Mutants who run the university's ""independent"" newspaper and who consider themselves the last bastion of intellectual endeavor on the sex-crazed, jock-obsessed campus--she is seduced by the heady glamour of acceptance, betraying both her values and upbringing before she grasps the power of being different--and the exotic allure of her own innocence.<br /><br />With his trademark satirical wit and famously sharp eye for telling detail, Wolfe's I Am Charlotte Simmons draws on extensive observations at campuses across the country to immortalize the early-21st-century college-going experience."
232,I am Charlotte Simmons ,1593977549,9781593977542,"Dupont University--the Olympian halls of learning housing the cream of America's youth, the roseate Gothic spires and manicured lawns suffused with tradition... Or so it appears to beautiful, brilliant Charlotte Simmons, a sheltered freshman from North Carolina. But Charlotte soon learns, to her mounting dismay, that for the uppercrust coeds of Dupont, sex, Cool, and kegs trump academic achievement every time.<br /><br />As Charlotte encounters Dupont's privileged elite--her roommate, Beverly, a Groton-educated Brahmin in lusty pursuit of lacrosse players; Jojo Johanssen, the only white starting player on Dupont's godlike basketball team, whose position is threatened by a hotshot black freshman from the projects; the Young Turk of Saint Ray fraternity, Hoyt Thorpe, whose heady sense of entitlement and social domination is clinched by his accidental brawl with a bodyguard for the governor of California; and Adam Geller, one of the Millennial Mutants who run the university's ""independent"" newspaper and who consider themselves the last bastion of intellectual endeavor on the sex-crazed, jock-obsessed campus--she gains a new, revelatory sense of her own power, that of her difference and of her very innocence, but little does she realize that she will act as a catalyst in all of their lives."
234,The Complete Verse and Other Nonsense,0142002275,9780142002278,"The absurd and fanciful verses of Edward Lear-from ""The Owl and the Pussy-cat"" to ""The Jumblies,"" from ""The Scroobious Pip"" to countless limericks-have enchanted generations of readers, children and adults alike. This delightful collection, the most comprehensive ever compiled of his work, presents all of Lear's verse and other nonsense writings, including stories, letters, and illustrated alphabets, as well as previously unpublished material. Featuring Lear's own line drawings throughout and an introduction by leading Lear authority Vivien Noakes, this captivating volume reveals a complex man of ample talents, achievements, and influence-and is teeming with timeless nonsense."
236,The Complete Nonsense of Edward Lear,089190090X,9780891900900,"The Owl and the Pussy-Cat, Calico Pie and The Pobble Who Has No Toes, together with Edward Lear's crazy limericks, have entertained adults and children alike for over 100 years.<br /><br />This edition, illustrated by the author, contains all the verse and stories of the Book of Nonsense, More Nonsense, Nonsense Songs, Nonsense Stories, Nonsense Alphabets and Nonsense Cookery. It has a biographical Preface by Lear himself, and concludes with some delightful 'heraldic' sketches of his cat, Foss."
237,Poetry for Young People: Edward Lear,0806930772,9780806930770,"Utterly delightful to read aloud, and for parent and child to share, Edward Lear's humorous verses shine with irrepressible joy and rhythm. Filled with exuberantly nonsensical made-up words (like ""Scroobius Pip"" and ""pobble""!) that tickle the funny bone, his work gives free rein to youthful imaginations. What better to foster a love of poetry than the immediately appealing The Owl and the Pussy-Cat, with its effortless rhymes, songlike beat, and charming animal characters? Or The Quangle Wangle's Hat, which tells the tale of a creature who warmly welcomes everyone--and so makes everyone cheerful. In Dingle Bank, even some young and mischievous boys punished by their schoolmaster make the best of their situation and succeed in having a good time. Bright and fanciful paintings--all as wildly energetic and unrestrained as the language itself--add to the enjoyment. 20 examples of Lear's finest poems will entice children over and over again--and, as always, this acclaimed series features fascinating biographical information, introductions to each verse, and full annotations that define difficult vocabulary.<br />"
239,An Edward Lear Alphabet,0060281138,9780060281137,"Edward Lear's acrobatic rhymes insistently tumble from the tongue and celebrate the glorious fun of wordplay. Only Vladimir Radunsky's electric artwork could possibly capture this much energy. Within the quiet covers of this book, the artist springs loose the grandest kings, the highest of kites, a goose-stepping gander, and, even, Lear himself. The pages almost turn themselves."
240,Edward Lear's Nonsense Verse,1851497048,9781851497041,"A delightful picture book for young children, bringing new life to five of Edward Lear's best-loved nonsense verses: The Owl and the Pussy Cat The Pobble Who has No Toes The Pelican Chorus The Jumblies The Quangle Wangle's Hat Zany characters leap across the pages in a colourful fantasy world, where nothing is what it seems and anything is possible."
241,A Was Once an Apple Pie,0439660564,9780439660563,Hand painted cut paper artwork by Caldecott winner Suse MacDonald illustrates this adaptation of Edward Lear's classic ABC rhyme.
242,The Owl and the Pussycat,0698113675,9780698113671,"Edward Lear's nonsense poem about two unlikely sweethearts--an elegant owl and a beautiful cat--has found a perfect match in artist Jan Brett. She traveled to the Caribbean (the land where the Bong-tree grows, perhaps?) to research her illustrations as well as the settings, costume details, plants, and fish native to the area. Readers can follow an illustrated subplot of two yellow fish who also fall in love under the pea-green boat. A charming treatment of a classic children's poem. <i>(Ages 3 to 7)</i>"
244,The Puffin Book of Nonsense Verse,0140366601,9780140366600,"Ever eaten Poodle Strudel? Slain a Jabberwock? Bathed in Irish Stew? Quentin Blake is one of the best loved of children’s illustrators. In this brilliant book he has selected and illustrated his favourite comic verse, making it pure entertainment for nonsense-lovers of all ages. His unique style of drawing brings a new perspective to every poem. Classic writers such as Lewis Carroll and Edward Lear are combined with more contemporary talents such as Roger McGough, Margaret Mahy and Russell Hoban. With fifteen wonderfully absurd sections, including Distracting Creatures, Sticky Ends, I Wish I Were a Jelly Fish, A Recipe for Indigestion and Chortling and Galumphing, here is a delightful collection of the topsy-turvy, the fantastical, the anarchic, the illogical and the utterly wonderful."
245,Henry Miller on Writing,0811201120,9780811201124,"Some of the most rewarding pages in Henry Miller's books concern his self-education as a writer. He tells, as few great writers ever have, how he set his goals, how he discovered the excitement of using words, how the books he read influenced him, and how he learned to draw on his own experience."
246,The Colossus of Maroussi,0811201090,9780811201094,"The Colossus of Maroussi is an impressionist travelogue by Henry Miller, written in 1939 and first published in 1941 by Colt Press of San Francisco. As an impoverished writer in need of rejuvenation, Miller travelled to Greece at the invitation of his friend, the writer Lawrence Durrell. The text is inspired by the events that occurred. The text is ostensibly a portrait of the Greek writer George Katsimbalis, although some critics have opined that is more of a self-portrait of Miller himself.[1] Miller considered it to be his greatest work."
247,Quiet Days in Clichy,080213016X,9780802130167,"This tender and nostalgic work dates from the same period as Tropic of Cancer (1934). It is a celebration of love, art, and the Bohemian life at a time when the world was simpler and slower, and Miller an obscure, penniless young writer in Paris. Whether discussing the early days of his long friendship with Alfred Perles or his escapades at the Club Melody brothel, in Quiet Days in Clichy Miller describes a period that would shape his entire life and oeuvre."
248,Big Sur and the Oranges of Hieronymus Bosch,0811201074,9780811201070,"Whence Henry Miller's title for this, one of his most appealing books; first published in 1957, it tells the story of Miller's life on the Big Sur, a section of California coast where he lived for fifteen years.<br /><br />Big Sur is the portrait of a place one of the most colorful in the U.S. and of the extraordinary people Miller knew there: writers (and writers who didn't write), mystics seeking truth in meditation (and the not-so-saintly looking for sex-cults or celebrity), sophisticated children and adult innocents; geniuses, cranks and the unclassifiable.<br /><br />Henry Miller writes with a buoyancy and brimming energy that are infectious. He has a fine touch for comedy. But this is also a serious book the testament of a free spirit who has broken through the restraints and cliches of modern life to find within himself his own kind of paradise.<br /><br />"
249,Tropic of Cancer,0802131786,9780802131782,"Now hailed as an American classic <i>Tropic of Cancer</i>, Henry Miller’s masterpiece, was banned as obscene in this country for twenty-seven years after its first publication in Paris in 1934. Only a historic court ruling that changed American censorship standards, ushering in a new era of freedom and frankness in modern literature, permitted the publication of this first volume of Miller’s famed mixture of memoir and fiction, which chronicles with unapologetic gusto the bawdy adventures of a young expatriate writer, his friends, and the characters they meet in Paris in the 1930s. <i>Tropic of Cancer</i> is now considered, as Norman Mailer said, ""one of the ten or twenty great novels of our century."""
250,Tropic of Capricorn,0802151825,9780802151827,"Banned in America for almost thirty years because of its explicit sexual content, this companion volume to Miller's <i>Tropic of Cancer</i> chronicles his life in 1920s New York City. Famous for its frank portrayal of life in Brooklyn's ethnic neighborhoods, and Miller's outrageous sexual exploits, <i>Tropic of Capricorn</i> is now considered a cornerstone of modern literature. <br />"
251,"Nexus (The Rosy Crucifixion, #3)",0802151787,9780802151780,"Nexus, the last book of Henry Miller's epic trilogy The Rosy Crucifixion, is widely considered to be one of the landmarks of American fiction. In it, Miller vividly recalls his many years as a down-and-out writer in New York City, his friends, mistresses, and the unusual circumstances of his eventful life."
252,"Sexus (The Rosy Crucifixion, #1)",0802151809,9780802151803,"Praise for Henry Miller: 'American literature begins and ends with the meaning of what Miller has done.' Lawrence Durrell 'I regard Henry Miller as a master.' Colin MacInne Praise for 'Sexus': 'A huge, sprawling narrative of Miller's life in New York, ""Sexus'""culminates in a description of an orgy as remarkable for its account of the author's powers of sexual endurance as for its versatility. Interspersed are descriptions of his friends, some of them extremely funny and all of them lively. The lack of inhibition and genteel or moral restraint with which Miller describes these various characters gives ""Sexus"" a unique vitality. Miller cannot be pompous, a rare virtue, and his honesty is absolute.' Spectator"
253,The Air-Conditioned Nightmare,0811201066,9780811201063,"In 1939, after ten years as an expatriate, Henry Miller returned to the United States with a keen desire to see what his native land was really like—to get to the roots of the American nature and experience. He set out on a journey that was to last three years, visiting many sections of the country and making friends of all descriptions. <em>The Air-Conditioned Nightmare</em> is the result of that odyssey."
254,The Time of the Assassins:  a Study of Rimbaud,0811201155,9780811201155,"The social function of the creative personality is a recurrent theme with Henry Miller, and this book is perhaps his most poignant and concentrated analysis of the artist's dilemma."
255,Public Places-Urban Spaces: The Dimensions of Urban Design,0750636327,9780750636322,"Public Places - Urban Spaces is a holistic guide to the many complex and interacting dimensions of urban design. The discussion moves systematically through ideas, theories, research and practice of urban design from a wide range of sources. It gradually builds the concepts one upon the other towards a total view of the subject."
257,Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,1592284159,9781592284153,We're all familiar with the American spirit. But what about America's spirits? Here is an entertaining and informative guide to haunted places throughout the fifty states.<br />
258,"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",0571211194,9780571211197,"Sian Phillips and Peter O'Toole were one of the theaters most fabulous couples--a marriage perhaps rivaled only by that of Richard Burton and Elizabeth Taylor in terms of glamour, power, and public fascination. In her exceptional memoir, Phillips reveals in thoughtful detail their tumultuous life together. She describes the mad and impulsive times with the infamous hellraiser alongside the tempestuous, insecure, and often lonely periods in their marriage. When OToole's career took off with ""Lawrence of Arabia,"" Sian found life increasingly difficult in her parallel roles as wife, mother, and actress, and watched as her own career became progressively sidelined. Against all expectations, though, their union endured for twenty years. When it ended, incredibly, even to herself, Sian plunged straight into another marriage, to a much younger man. Ultimately she emerges alone--triumphant and unrepentant--and the story she recounts here ranks alongside the very best in show business.<br />"
259,Together Alone: Personal Relationships in Public Places,0520245237,9780520245235,"Exploring locales such as city streets, bus stops, parking lots, bars, retail establishments, and discussion groups, <i>Together Alone </i>ventures into what is often thought of as the realm of passing strangers to examine the nature of personal relationships conducted in public spaces. While most studies of social interaction have gone behind closed doors to focus on relationships in the family, school, and workplace, this innovative collection pushes the boundaries of the field by analyzing both fleeting and anchored relationships in the seldom-studied communal areas where much of contemporary life takes place. The contributors shed light on the diversity and character of day-to-day negotiations in public spaces and at the same time illuminate how these social ties paradoxically blend aspects of durability and brevity, of emotional closeness and distance, of being together and alone."
260,Squares: A Public Place Design Guide for Urbanists,0826330045,9780826330048,"Vital public places--squares, post office steps, playgrounds, street corners--are centers of joyful celebration, heartbroken communion, civic discussion, or for simply hanging out. Squares is intended to help designers, planners, public officials, students, developers, and community leaders understand the history and theories of public commons, elicit community dialogue and desires, respond to the natural and built environment, and design compelling places.<br /><br />Mark C. Childs contends that places built to support conviviality are critical components of a good town. He includes theory, brief case studies, and 126 design queries and discussions. These questions range from the general--""How can the life of the community be strengthened by the planning of a civic place?""--to the particular--""Is the place delightful on a Tuesday morning?"" ""What makes a good place for a rendezvous?"" Childs explores the design implications of the automobile, electronic media, the natural environment, urban furniture and structures, public safety, and public art. Interspersed with Childs's text are brief essays by other authors addressing particular kinds of public spaces: parks, urban beaches, farmers' markets, and community gardens."
261,Just in Time! Pastoral Prayers in Public Places,0687495679,9780687495672,"The Just In Time! series offers brief, practical resources of immediate help for pastors at an affordable price.<br /><br />Part of a pastor's role in the community is to pray publicly. The pastor is often the official ""pray-er"" at all kinds of community events--the high school football game, the opening of the new grocery store, the county school board meeting, kindergarten graduation--to name a few. But the pastor must also pray knowing that there are believers (of many persuasions) and non-believers present. In addition to the prayers in this book, there are brief setting descriptions and Scripture references. These prayers can be used with little or no adaptation.<br /><br />Sample prayers: Graduation: ""O God, Author of all wisdom, Giver of all truth, Seeker of all servants, we thank You for the times of life that mark Your continuing goodness. We are grateful for these believers, young in their faith and early in their journey, who have been open to study and learning and who now gain graduation toward tomorrows which will take them in many direction, but never from Your presence.""<br /><br />Suicide: ""O God, if we knew why, we would name it before You! Hear our plea for help; hear our plea for hope. We confess that we do not grasp the depths which drive one of Your children to end the life You began. We confess that faint stirrings of guilt, soft wondering about our own inattentions, and a simple unease all groan within us. Grant us a grace which will be sufficient for our own broken and breaking places.""<br /><br />Citizenship: ""O God, The Giver of beginnings, we praise You for giving to Your servants fresh possibilities, extended hopes, and a new nation. You have given them life and now You give them calls to new loyalties, new responsibilities, and new opportunities. We make no claim for the perfection of this nations, but we do make full claim upon Your presence in its work for justice, its care for the poor, and its openness to those who seek to be its people."""
262,Pike Place Public Market Seafood Cookbook,1580086802,9781580086806,"For close to 100 years, Seattle'�'s Pike Place Public Market has been a favorite destination for food-loving locals and tourists alike. Packed with stalls offering the best quality and selection of fish found on the West Coast, restaurants serving up Pacific Northwest cuisine, and culinary shops of every persuasion, the market is a fish-lover'�'s paradise. In this colorful gift edition cookbook, best-selling author Braiden Rex-Johnson shares shopping tips, cooking techniques, mail-order sources, and more than 50 recipes for fish and shellfish from the chefs, restaurateurs, and fishmongers who represent the market community. Filled with candid, colorful photos, the PIKE PLACE PUBLIC MARKET SEAFOOD COOKBOOK is the perfect gift for any seafood-loving soul and a great souvenir to bring the best of the market home.A full-color, gift edition seafood cookbook from Seattle'�'s Pike Place Public Market, including 50 recipes and 50 vibrant photographs of the market'�'s people, sites, and seafood.Features information on sustainable fisheries and preservation.Includes a brief history of the Pike Place Public Market.Recipe highlights include Broiled Halibut with Sundried Tomato Tapenade; Balsamic Glazed Salmon; Mussels Proven?+al; Shellfish Risotto; and such simple, tasty sauces as Champagne Sauce, Simple Soy Glaze, and classic Romesco."
263,Art for Public Places: Critical Essays,0950678384,9780950678382,"Information concerning the context of public art projects in the UK, the USA and Eastern Europe is presented in this book. Aiming to provide an informed account of public art projects, it looks at projects in London and other cities, art in hospitals and education for public art."
264,The Portrait of a Lady,0141439637,9780141439631,"When Isabel Archer, a beautiful, spirited American, is brought to Europe by her wealthy Aunt Touchett, it is expected that she will soon marry. But Isabel, resolved to determine her own fate, does not hesitate to turn down two eligible suitors. She then finds herself irresistibly drawn to Gilbert Osmond, who, beneath his veneer of charm and cultivation, is cruelty itself. A story of intense poignancy, Isabel's tale of love and betrayal still resonates with modern audiences.<br /><br />"
265,The Portrait of a Lady,058241783X,9780582417830,"[<i>Penguin Readers Level 3</i>]<br /><br />When Isabel Archer, a young American woman with looks, wit, and imagination, arrives in Europe, she sees the world as `a place of brightness, of free expression, of irresistible action'. She turns aside from suitors who offer her their wealth and devotion to follow her own path. But that way leads to disillusionment and a future as constricted as `a dark narrow alley with a dead wall at the end'. In a conclusion that is one of the most moving in modern fiction, Isabel makes her final choice. The Portrait of a Lady is the masterpiece of James's middle period, and Isabel is perhaps his most engaging central character. This edition provides a challenging new introduction and detailed notes; the text is that of the New York Edition and includes Henry James's own Preface."
266,The Portrait of a Lady (The Classic Collection),1423310764,9781423310761,"<b>Civility and society come head to head in Henry James’ seminal work.</b><br /><br /><br /><br />The heroine of this powerful novel is the spirited young American Isabel Archer. Blessed by nature and fortune, she journeys to Europe to seek her future, but what she finds may prove to be her undoing. She is courted by three men: an English aristocrat, an American gentleman, and a sensitive expatriate. Her invalid cousin becomes her benefactor and adviser.<br /><br /><br /><br />But it is after the ingenuous Isabel falls prey to the schemes of an infinitely more sophisticated older woman that her life takes shape. Rich in character and the interplay of tensions, <i>The Portrait of a Lady</i> is a brilliant, timeless, and essential American novel.<br /><br /><br /><br />This novel is part of Brilliance Audio's extensive Classic Collection, bringing you timeless masterpieces that you and your family are sure to love."
267,Portrait of the Blue Lady: The Character of Melancholy,1882670965,9781882670963,"Once imagined in past centuries as an affliction from the gods and as a majestic woman of power and wisdom, Dame Melancholy, the Blue Lady, has been reduced to a modern, impersonal clinical category. But we all get the blues sometimes, and how are we to understand what is going on in the psyche in those blue moods? This book, written in a lyrical style with wit and passion, intends to redeem melancholy and restore it to its rightful place in the human psyche, as a Muse of creative force, a characteristic of greatness, and a bittersweet comfort in the sensitive soul."
268,The Portrait of a Lady,0192100386,9780192100382,"Described by F. R. Leavis as one of the two most brilliant novels in the language, The Portrait of a Lady tells the story of Isabel Archer, young, American, and eager to embrace life, as she makes her choice from the suitors who court her. She is true to her principles, but at what cost?"
269,The Portrait of a Lady,1593080964,9781593080969,"The Portrait of a Lady, by Henry James, is part of the Barnes &amp; Noble Classicsseries, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of Barnes &amp; Noble Classics:<br /><br />New introductions commissioned from today's top writers and scholars<br />Biographies of the authors<br />Chronologies of contemporary historical, biographical, and cultural events<br />Footnotes and endnotes<br />Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work<br />Comments by other famous authors<br />Study questions to challenge the reader's viewpoints and expectations<br />Bibliographies for further reading<br />Indices &amp; Glossaries, when appropriate<br />All editions are beautifully designed and are printed to superior specifications; some include illustrations of historical interest. Barnes &amp; Noble Classics pulls together a constellation of influences—biographical, historical, and literary—to enrich each reader's understanding of these enduring works.<br /><br />The Portrait of a Lady features one of the author’s most magnificent heroines: Isabel Archer, a beautiful, spirited American who becomes a victim of her provincialism during her travels in Europe. As the story begins, Isabel, resolved to determine her own fate, has turned down two eligible suitors. Her cousin, who is dying of tuberculosis, secretly gives her an inheritance so that she can remain independent and fulfill a grand destiny, but the fortune only leads her to make a tragic choice and marry Gilbert Osmond, an American expatriate who lives in Florence. Outwardly charming and cultivated, but fundamentally cold and cruel, Osmond only brings heartbreak and ruin to Isabel’s life. Yet she survives as she begins to realize that true freedom means living with her choices and their consequences. Richly complex and nearly aesthetically perfect, The Portrait of a Lady brilliantly portrays the clash between the innocence and exuberance of the New World and the corruption and wisdom of the Old."
